x y
200 120
189 133
189 137
191 138
189 140
183 144
180 200
180 211
255 216
268 219
369 219
176 236
175 241
176 248
176 251
200.4 120
189.6 133.2
188.4 136.8
190.8 138
182.4 144
180 200.4
180 211.2
254.4 216
267.6 218.4
368.4 219.6
397.2 220.8
175.2 236.4
175.2 246
200.16 120.96
188.64 132.48
182.88 144
180 200.16
180 210.24
269.28 218.88
367.2 220.32
302.4 266.4
311.04 292.32
190.08 131.328
186.624 136.512
183.168 143.424
269.568 219.456
368.064 221.184
397.44 221.184
302.4 267.84
309.312 292.032
286.848 298.944
201.139 120.269
190.771 130.637
186.624 136.858
182.477 143.078
269.568 219.802
398.131 221.875
302.746 265.421
282.01 290.304
308.966 290.304
286.157 298.598
199.066 119.439
189.112 129.393
268.739 221.461
368.271 221.461
261.274 223.949
253.809 226.437
303.575 266.25
355.83 288.645
308.552 291.134
278.692 293.622
286.157 298.598
281.18 358.318
200.061 119.439
220.963 217.977
268.739 220.963
367.276 220.963
256.795 223.949
385.192 223.949
271.725 250.823
304.57 265.753
316.514 268.739
325.472 268.739
358.318 289.641
277.697 292.627
304.57 292.627
310.542 304.57
304.57 313.528
322.486 313.528
238.879 328.458
280.683 361.304
200.658 118.245
257.989 222.157
268.739 222.157
379.817 222.157
272.322 250.823
304.57 265.155
318.903 265.155
275.905 275.905
358.318 275.905
279.488 290.238
304.57 290.238
358.318 290.238
311.737 304.57
326.07 311.737
236.49 322.486
272.322 336.819
283.071 361.901
