x y
498 300
474 310
332 300
472 308
355 308
361 298
354 298
493 297
489 297
467 297
361 558
357 305
477 295
357 307
474 293
411 400
358 299
352 300
360 309
355 302
468 301
350 296
373 298
480 298
380 310
337 295
499 304
335 294
329 294
408 398
504 301
496 298
490 301
456 301
363 459
315 268
320 279
378 407
409 404
316 266
321 282
330 291
459 300
358 293
501 299
324 254
367 461
487 298
439 258
383 436
424 258
460 304
617 279
315.6 267.6
355.2 301.2
361.2 308.4
498 301.2
355.2 307.2
320.4 279.6
361.2 558
357.6 292.8
474 292.8
328.8 294
350.4 295.2
478.8 294
379.2 303.6
489.6 295.2
466.8 296.4
492 296.4
361.2 297.6
495.6 297.6
410.4 399.6
354 298.8
357.6 298.8
500.4 298.8
474 309.6
468 300
380.4 309.6
469.2 308.4
362.4 553.2
366 460.8
324 252
337.2 294
490.8 300
316.8 265.2
373.2 297.6
408 404.4
616.8 279.6
342 282
424.8 258
456 301.2
465.6 308.4
362.4 458.4
504 300
381.6 435.6
378 406.8
458.4 300
474 304.8
459.6 302.4
438 258
608.4 271.2
339.6 290.4
451.2 303.6
466.56 298.08
315.36 267.84
473.76 309.6
354.24 299.52
380.16 309.6
360 308.16
355.68 306.72
378.72 303.84
498.24 302.4
374.4 302.4
331.2 290.88
357.12 293.76
360 558.72
476.64 295.2
361.44 298.08
502.56 300.96
372.96 298.08
407.52 404.64
473.76 305.28
489.6 300.96
351.36 300.96
316.8 264.96
486.72 298.08
328.32 295.2
324 252
336.96 295.2
365.76 460.8
362.88 459.36
324 275.04
319.68 279.36
341.28 282.24
492.48 296.64
378.72 406.08
616.32 280.8
348.48 463.68
397.44 396
381.6 436.32
345.6 463.68
609.12 270.72
383.04 486.72
645.12 325.44
446.4 305.28
452.16 303.84
380.16 309.312
497.664 302.4
470.016 307.584
361.152 307.584
354.24 305.856
323.136 254.016
314.496 267.84
473.472 304.128
376.704 304.128
354.24 298.944
319.68 278.208
490.752 300.672
371.52 297.216
476.928 295.488
331.776 290.304
328.32 293.76
355.968 293.76
473.472 293.76
335.232 295.488
361.152 298.944
350.784 300.672
407.808 399.168
366.336 461.376
359.424 559.872
385.344 295.488
483.84 298.944
406.08 406.08
324.864 276.48
378.432 406.08
361.152 459.648
349.056 463.104
352.512 464.832
352.512 459.648
616.896 281.664
380.16 435.456
470.707 292.378
476.928 296.525
327.629 294.451
379.469 308.966
375.322 302.746
323.482 252.979
315.187 267.494
470.707 306.893
466.56 306.893
325.555 275.789
360.806 304.819
319.334 277.862
342.144 282.01
354.586 304.819
354.586 292.378
331.776 290.304
476.928 308.966
337.997 294.451
385.69 296.525
354.586 298.598
466.56 298.598
491.443 298.598
333.85 300.672
362.88 300.672
483.149 300.672
497.664 300.672
360.806 559.872
406.426 406.426
406.426 398.131
379.469 406.426
362.88 458.266
367.027 462.413
391.91 402.278
360.806 298.598
360.806 303.575
477.758 296.11
353.342 303.575
335.923 293.622
373.248 301.087
467.804 306.063
316.017 268.739
495.176 301.087
405.596 398.131
467.804 298.598
477.758 308.552
318.505 276.204
380.713 296.11
470.293 293.622
323.482 253.809
353.342 291.134
325.97 276.204
360.806 552.407
340.9 281.18
385.69 293.622
360.806 457.851
348.365 462.828
378.225 405.596
393.155 403.108
352.346 292.627
337.416 292.627
352.346 304.57
465.814 304.57
322.486 253.809
382.206 295.612
319.5 271.725
477.758 304.57
471.786 292.627
477.758 295.612
361.304 298.598
373.248 301.584
492.688 304.57
340.402 280.683
406.094 397.136
361.304 552.407
403.108 406.094
361.304 456.856
401.316 394.15
469.397 290.238
480.146 297.404
490.896 304.57
318.903 261.572
318.903 268.739
336.819 293.821
351.152 300.987
476.563 304.57
333.236 279.488
383.4 293.821
465.814 304.57
386.984 394.15
401.316 404.9
469.397 275.905
379.817 404.9
